row_index,game_id,move_index,score
0,5,0,0
1,5,1,0
2,5,2,0
3,5,3,4
4,5,4,4
5,5,5,16
6,5,6,16
7,5,7,16
8,5,8,16
9,5,9,16
10,5,10,16
11,5,11,16
12,5,12,20
13,5,13,32
14,5,14,32
15,5,15,36
16,5,16,36
17,5,17,52
18,5,18,60
19,5,19,76
20,5,20,76
21,5,21,80
22,5,22,80
23,5,23,84
24,5,24,92
25,5,25,92
26,5,26,96
27,5,27,104
28,5,28,124
29,5,29,124
30,5,30,128
31,5,31,132
32,5,32,144
33,5,33,152
34,5,34,152
35,5,35,192
36,5,36,232
37,5,37,232
38,5,38,264
39,5,39,268
40,5,40,272
41,5,41,280
42,5,42,300
43,5,43,308
44,5,44,308
45,5,45,312
46,5,46,312
47,5,47,316
48,5,48,316
49,5,49,324
50,5,50,324
51,5,51,324
52,5,52,328
53,5,53,340
54,5,54,348
55,5,55,348
56,5,56,352
57,5,57,356
58,5,58,364
59,5,59,364
60,5,60,364
61,5,61,368
62,5,62,392
63,5,63,392
64,5,64,404
65,5,65,404
66,5,66,404
67,5,67,408
68,5,68,412
69,5,69,476
70,5,70,500
71,5,71,536
72,5,72,556
73,5,73,556
74,5,74,576
75,5,75,576
76,5,76,576
77,5,77,576
78,5,78,600
79,5,79,604
80,5,80,640
81,5,81,704
82,5,82,732
83,5,83,872
84,5,84,876
85,5,85,908
86,5,86,908
87,5,87,908
88,5,88,912
89,5,89,912
90,5,90,920
91,5,91,924
92,5,92,924
93,5,93,928
94,5,94,940
95,5,95,964
96,5,96,984
97,5,97,984
98,5,98,984
99,5,99,1016
100,5,100,1016
101,5,101,1084
102,5,102,1092
103,5,103,1092
104,5,104,1096
105,5,105,1104
106,5,106,1112
107,5,107,1120
108,5,108,1136
109,5,109,1144
110,5,110,1144
111,5,111,1144
112,5,112,1144
113,5,113,1152
114,5,114,1164
115,5,115,1164
116,5,116,1164
117,5,117,1172
118,5,118,1192
119,5,119,1192
120,5,120,1228
121,5,121,1228
122,5,122,1228
123,5,123,1228
124,5,124,1228
125,5,125,1240
126,5,126,1252
127,5,127,1256
128,5,128,1260
129,5,129,1268
130,5,130,1284
131,5,131,1288
132,5,132,1296
133,5,133,1296
134,5,134,1300
135,5,135,1300
136,5,136,1308
